sample_id,population_abbreviation,project,coverage_hifi,deepconsensus_coverage_hifi,coverage_mm_hifi,production,n50_hifi,coverage_hic,coverage_ill,total_reads_kinnex,coverage_ont,coverage_100kb_ont,coverage_100kb_R1041,coverage_100kb_R941,sequencing_chemistry_ont,read_N50_ont,meth_wg_cov
HG03369,ESN,HPRC,61.50,0.00,61.50,RU_Y4,19708.00,79.70,44.77,13902428.00,57.17,27.54,27.54,0.00,R1041,96726.64,61.50
HG03453,MSL,HPRC,59.97,59.97,0.00,WUSTL_HPRC_HiFi_Year1,19882.79,70.60,35.39,13599049.00,61.51,25.49,0.00,25.49,R941,85199.93,53.70
HG03470,MSL,HPRC,70.68,48.58,62.90,RU_Y3,26426.98,55.34,38.84,9215824.00,66.94,30.65,0.00,30.65,R941,91546.45,62.90
HG03471,MSL,HPRC,60.77,60.77,0.00,WUSTL_HPRC_HiFi_Year1,19212.43,69.08,37.86,15084518.00,73.32,24.00,0.00,24.00,R941,73793.06,52.60
HG03486,MSL,HPRC_PLUS,47.80,47.80,0.00,HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20,18848.07,,34.85,,50.58,24.99,24.99,0.00,R1041,99308.21,41.20
HG03516,ESN,HPRC,92.40,69.90,22.50,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18525.55,57.51,33.41,11381927.00,126.17,55.75,0.00,55.75,R941,89894.70,59.70
HG03521,ESN,HPRC,67.30,0.00,67.30,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,20576.33,75.44,37.35,15478900.00,86.95,32.13,32.13,0.00,R1041,75600.88,67.30
HG03540,GWD,HPRC,58.53,58.53,0.00,WUSTL_HPRC_HiFi_Year1,20527.04,62.12,39.56,18061641.00,69.44,27.84,0.00,27.84,R941,81801.20,51.60
HG03579,MSL,HPRC,84.47,84.47,0.00,WUSTL_HPRC_HiFi_Year1,19407.94,83.00,35.09,11054062.00,95.33,42.30,0.00,42.30,R941,90233.63,50.20
HG03583,MSL,HPRC,57.10,0.00,57.10,RU_Y4,23065.32,28.24,35.93,22782912.00,43.13,18.21,18.21,0.00,R1041,86923.85,57.10
HG03654,PJL,HPRC,66.15,41.35,61.60,WUSTL_HPRC_HiFi_Year2_TopUp,17966.84,88.16,36.16,18853990.00,59.39,24.42,0.00,24.42,R941,86677.35,61.60
HG03669,PJL,HPRC,71.89,41.39,67.00,WUSTL_HPRC_HiFi_Year2_TopUp,19075.97,83.12,37.70,11868526.00,60.87,21.44,0.00,21.44,R941,79679.71,67.00
HG03688,STU,HPRC,61.96,42.36,55.80,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,17547.24,111.10,37.02,18063684.00,72.82,27.76,0.00,27.76,R941,82604.58,55.80
HG03704,PJL,HPRC,68.34,49.44,53.00,UW_HPRC_HiFi_Y3,20096.12,136.32,36.58,20402453.00,69.72,27.02,0.00,27.02,R941,82897.17,53.00
HG03710,PJL,HPRC,76.64,35.84,73.60,WUSTL_HPRC_HiFi_Year2_TopUp,20956.89,129.88,37.30,19783115.00,67.23,21.84,0.00,21.84,R941,71421.06,73.60
HG03742,ITU,HPRC,63.17,49.97,41.20,RU_Y3,19278.02,69.88,38.43,16459352.00,59.89,22.38,0.00,22.38,R941,76376.51,41.20
HG03784,ITU,HPRC,62.50,0.00,62.50,WUSTL_HPRC_HiFi_Year4,19689.54,140.18,37.52,16372445.00,57.42,24.01,24.01,0.00,R1041,84958.44,62.50
HG03804,BEB,HPRC,69.60,0.00,69.60,RU_Y2_HIFI,18051.62,119.85,34.27,19533765.00,92.29,37.80,0.00,37.80,R941,84584.65,69.60
HG03816,BEB,HPRC,59.90,0.00,59.90,RU_Y2_HIFI,17857.94,162.41,33.06,17784728.00,79.52,24.32,0.00,24.32,R941,69453.12,59.90
HG03831,BEB,HPRC,76.39,36.49,70.70,WUSTL_HPRC_HiFi_Year2_TopUp,21101.59,92.26,35.69,20725252.00,79.82,30.10,0.00,30.10,R941,80264.43,70.70
HG03834,BEB,HPRC,68.81,42.71,63.80,WUSTL_HPRC_HiFi_Year3,18947.21,65.72,35.42,15009793.00,48.80,26.33,0.00,26.33,R941,107869.33,63.80
HG03874,ITU,HPRC,61.60,0.00,61.60,RU_Y4,21046.72,35.94,38.11,16123842.00,84.39,33.46,33.46,0.00,R1041,84818.15,61.60
HG03927,BEB,HPRC,60.00,44.00,52.80,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,16689.15,100.16,35.32,17408754.00,61.94,23.82,0.00,23.82,R941,81754.93,52.80
HG03942,BEB,HPRC,64.17,41.77,57.00,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18468.67,40.70,36.07,14584636.00,55.30,15.22,0.00,15.22,R941,65500.00,57.00
HG04115,STU,HPRC,69.06,35.86,63.80,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,20320.83,209.28,34.91,18372188.00,55.93,20.47,0.00,20.47,R941,79511.13,63.80
HG04157,BEB,HPRC,60.30,0.00,60.30,RU_Y2_HIFI,17853.97,154.56,37.15,15201610.00,85.73,29.33,0.00,29.33,R941,75673.19,60.30
HG04160,BEB,HPRC,58.50,0.00,58.50,RU_Y2_HIFI,17422.77,48.90,35.59,22162092.00,72.24,20.05,0.00,20.05,R941,68517.55,58.50
HG04184,BEB,HPRC,62.66,42.86,54.80,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18807.53,79.84,34.59,17810995.00,47.79,21.95,0.00,21.95,R941,93100.69,54.80
HG04187,BEB,HPRC,67.20,38.80,28.40,RU_Y2_topoff,19041.00,38.74,35.87,14349653.00,47.10,16.28,0.00,16.28,R941,77378.18,28.40
HG04199,STU,HPRC,67.58,37.48,62.10,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18848.92,108.03,35.63,17566071.00,60.00,21.33,0.00,21.33,R941,79900.62,62.10
HG04204,STU,HPRC,66.01,35.51,58.80,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19381.66,137.44,36.29,20424547.00,58.22,23.36,0.00,23.36,R941,85228.36,58.80
HG04228,STU,HPRC,65.93,50.53,57.40,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19200.55,142.20,36.36,18299689.00,72.29,25.35,0.00,25.35,R941,76984.73,57.40
HG06807,ASL,extramural,63.65,40.85,22.80,WUSTL_HPRC_HiFi_Year3_TopUp,15784.84,56.32,35.80,,71.86,31.33,31.33,0.00,R1041,88129.99,22.80
NA18505,YRI,HPRC,61.40,0.00,61.40,RU_Y4,19826.76,49.80,41.03,45011711.00,80.43,17.18,17.18,0.00,R1041,52740.63,61.40
NA18508,YRI,HPRC,61.30,0.00,61.30,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,21475.58,34.98,51.25,15357208.00,79.70,42.12,42.12,0.00,R1041,105727.82,61.30
NA18522,YRI,HPRC,66.82,47.92,61.10,UW_HPRC_HiFi_Y3,20366.27,74.41,33.68,21823553.00,69.01,30.82,0.00,30.82,R941,90463.07,61.10
NA18565,CHB,HPRC,62.90,0.00,62.90,WUSTL_HPRC_HiFi_Year4,17803.10,87.84,56.83,14672154.00,59.56,24.57,24.57,0.00,R1041,83082.55,62.90
NA18570,CHB,HPRC,66.44,50.24,59.00,RU_Y3,22191.88,57.84,34.79,17940129.00,66.22,26.85,0.00,26.85,R941,81656.38,59.00
NA18608,CHB,HPRC,61.70,0.00,61.70,WUSTL_HPRC_HiFi_Year4,19218.80,35.02,35.33,19904345.00,76.80,34.48,34.48,0.00,R1041,89650.16,61.70
NA18620,CHB,HPRC,68.20,0.00,68.20,RU_Y4,19631.33,47.08,38.89,17479680.00,78.69,36.60,36.60,0.00,R1041,92503.21,68.20
NA18747,CHB,HPRC,65.15,48.05,55.50,UW_HPRC_HiFi_Y3,20510.07,71.03,35.93,10810952.00,75.12,31.12,0.00,31.12,R941,84246.27,55.50
NA18879,YRI,HPRC,63.80,0.00,63.80,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19023.38,89.28,43.62,12084927.00,54.67,20.70,20.70,0.00,R1041,77428.62,63.80
NA18906,YRI,HPRC_PLUS,51.45,51.45,0.00,HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20,21511.91,,33.09,,61.74,29.58,29.58,0.00,R1041,96084.06,44.30
NA18940,JPT,HPP,40.00,0.00,0.00,HPRC_AMED,20570.51,79.50,34.39,,94.10,27.08,27.08,0.00,R1041,67435.28,40.00
NA18943,JPT,HPP,40.70,0.00,0.00,HPRC_AMED,17055.55,88.86,33.58,,81.38,29.55,29.55,0.00,R1041,80048.14,40.70
NA18944,JPT,HPP,35.30,0.00,0.00,HPRC_AMED,18480.99,92.88,31.64,,99.49,24.89,24.89,0.00,R1041,63663.28,35.30
NA18945,JPT,HPP,39.70,0.00,0.00,HPRC_AMED,18172.11,66.80,34.88,,65.01,26.30,26.30,0.00,R1041,82845.98,39.70
NA18948,JPT,HPP,38.40,0.00,0.00,HPRC_AMED,19333.75,64.00,32.55,,94.12,37.50,37.50,0.00,R1041,83344.62,38.40
NA18952,JPT,HPRC,76.30,0.00,76.30,WUSTL_HPRC_HiFi_Year4,18546.36,117.20,37.69,16864717.00,76.06,27.28,27.28,0.00,R1041,76328.29,76.30
NA18959,JPT,HPP,35.80,0.00,0.00,HPRC_AMED,15436.58,53.86,45.36,,68.98,31.16,31.16,0.00,R1041,91126.07,35.80
NA18960,JPT,HPP,49.70,0.00,0.00,HPRC_AMED,21580.24,54.58,35.03,,77.46,32.93,32.93,0.00,R1041,86496.93,49.70
NA18967,JPT,HPP,47.50,0.00,0.00,HPRC_AMED,17925.52,59.58,35.67,12677755.00,65.86,28.73,28.73,0.00,R1041,87717.06,47.50
NA18970,JPT,HPP,54.90,0.00,0.00,HPRC_AMED,21161.31,59.98,40.67,15726658.00,66.79,27.98,27.98,0.00,R1041,84386.24,54.90
NA18971,JPT,HPRC,72.17,45.67,63.00,WUSTL_HPRC_HiFi_Year3,19259.83,59.50,36.68,10119710.00,79.88,29.98,0.00,29.98,R941,78447.42,63.00
NA18974,JPT,HPRC,81.60,0.00,81.60,WUSTL_HPRC_HiFi_Year4,20114.88,31.86,46.40,18980779.00,85.20,33.47,33.47,0.00,R1041,81787.17,81.60
NA18976,JPT,HPRC,73.40,0.00,73.40,WUSTL_HPRC_HiFi_Year4,19921.28,46.10,35.19,13681723.00,64.83,23.24,23.24,0.00,R1041,75413.96,73.40
NA18982,JPT,HPP,47.40,0.00,0.00,HPRC_AMED,22871.84,66.86,31.00,,61.88,24.95,24.95,0.00,R1041,83893.77,47.40
NA18983,JPT,HPRC,66.19,48.69,58.80,UW_HPRC_HiFi_Y3,20967.97,45.70,33.12,17214754.00,68.10,26.40,0.00,26.40,R941,79847.43,58.80
NA19036,LWK,HPRC,64.30,0.00,64.30,RU_Y4,17685.54,54.04,53.82,16751355.00,91.54,34.74,34.74,0.00,R1041,83485.20,64.30
NA19043,LWK,HPRC,60.53,48.43,53.70,UW_HPRC_HiFi_Y3,21229.71,185.70,42.56,15149869.00,62.45,21.82,0.00,21.82,R941,73762.19,53.70
NA19087,JPT,HPRC,67.06,48.26,60.30,RU_Y3,20945.25,70.64,36.83,16712321.00,72.01,22.34,0.00,22.34,R941,67374.71,60.30
NA19159,YRI,HPRC,57.39,34.69,52.50,RU_Y3,23390.48,83.49,37.39,14765232.00,56.33,23.73,0.00,23.73,R941,84973.51,52.50
NA19185,YRI,HPRC,60.57,51.77,55.00,RU_Y3,21278.38,67.68,41.10,17318034.00,54.52,19.96,0.00,19.96,R941,75260.21,55.00
NA19240,YRI,HPRC_PLUS,35.24,35.24,0.00,HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20,17778.57,,33.03,,73.94,38.03,38.03,0.00,R1041,102834.09,41.80
NA19338,LWK,HPRC,63.34,42.74,57.60,RU_Y3,24240.26,65.62,35.52,20320790.00,65.32,30.44,0.00,30.44,R941,93677.81,57.60
NA19391,LWK,HPRC,65.81,42.91,60.40,RU_Y3,21215.23,61.70,35.36,10915374.00,81.87,36.24,0.00,36.24,R941,89402.43,60.40
NA19443,LWK,HPRC,62.80,0.00,62.80,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,24462.42,54.52,36.16,14102830.00,69.85,25.63,25.63,0.00,R1041,78867.77,62.80
NA19468,LWK,HPRC,69.60,49.80,60.00,RU_Y3,24299.79,62.55,35.87,9913617.00,78.16,26.89,0.00,26.89,R941,75310.52,60.00
NA19682,MXL,HPRC,62.60,0.00,62.60,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,21160.43,150.84,34.54,13446714.00,86.82,27.68,27.68,0.00,R1041,70749.24,62.60
NA19700,ASW,HPRC,60.60,0.00,60.60,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,20482.82,42.68,36.05,17007320.00,61.70,35.45,35.45,0.00,R1041,115330.45,60.60
NA19776,MXL,HPRC,62.40,0.00,62.40,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18123.33,181.08,35.56,14163550.00,90.67,34.01,34.01,0.00,R1041,75590.54,62.40
NA19835,ASW,HPRC,62.40,0.00,62.40,RU_Y4,19763.24,198.52,45.52,15652847.00,82.96,37.30,37.30,0.00,R1041,90593.76,62.40
NA19909,ASW,HPRC,189.80,0.00,189.80,WUSTL_HPRC_HiFi_Year4,18957.93,151.42,35.32,14530598.00,79.87,27.10,27.10,0.00,R1041,72067.32,189.80
NA20129,ASW,HPRC_PLUS,42.33,42.33,0.00,HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20,17804.31,,34.09,,74.58,32.36,32.36,0.00,R1041,87658.87,38.80
NA20282,ASW,HPRC,69.80,0.00,69.80,WUSTL_HPRC_HiFi_Year4,19999.88,94.10,34.21,16099858.00,68.40,25.69,25.69,0.00,R1041,78592.08,69.80
NA20346,ASW,HPRC,60.10,0.00,60.10,WUSTL_HPRC_HiFi_Year4,19706.30,99.16,35.84,14244462.00,87.35,26.49,26.49,0.00,R1041,69206.96,60.10
NA20503,TSI,HPP,41.70,41.70,0.00,TECHNOPOLE_DEEPCONS,19900.00,90.32,39.31,15491897.00,63.22,23.67,23.67,0.00,R1041,79124.88,36.10
NA20752,TSI,HPRC,73.73,52.43,65.50,UW_HPRC_HiFi_Y3,21167.69,205.83,35.27,19023374.00,78.93,29.85,0.00,29.85,R941,77724.40,65.50
NA20762,TSI,HPP,45.70,45.70,0.00,TECHNOPOLE_DEEPCONS,21376.00,66.66,57.48,16536001.00,75.05,37.37,37.37,0.00,R1041,99907.94,39.30
NA20799,TSI,HPRC,66.91,39.91,60.90,RU_Y3,22012.06,187.00,36.01,19413978.00,58.34,18.26,0.00,18.26,R941,67011.27,60.90
NA20805,TSI,HPRC,58.20,43.60,53.40,WUSTL_HPRC_HiFi_Year3,20237.10,56.88,37.41,13386009.00,49.43,18.96,0.00,18.96,R941,77463.47,53.40
NA20806,TSI,HPP,47.00,47.00,0.00,TECHNOPOLE_DEEPCONS,18140.00,147.00,38.38,18350185.00,95.54,36.75,36.75,0.00,R1041,80074.43,41.00
NA20809,TSI,HPRC,59.10,0.00,59.10,WUSTL_HPRC_HiFi_Year4,18655.95,84.54,36.31,19769387.00,69.93,24.82,24.82,0.00,R1041,73942.74,59.10
NA20827,TSI,HPP,48.90,48.90,0.00,TECHNOPOLE_DEEPCONS,22908.00,51.86,44.47,16768703.00,84.63,36.41,36.41,0.00,R1041,93927.26,41.00
NA20850,GIH,HPRC,60.60,0.00,60.60,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18369.27,88.14,50.96,14770436.00,63.95,19.54,19.54,0.00,R1041,63605.24,60.60
NA20870,GIH,HPRC,70.30,0.00,70.30,RU_Y4,16384.99,70.88,34.65,15631798.00,79.27,25.71,25.71,0.00,R1041,71107.93,70.30
NA20905,GIH,HPRC,61.31,49.01,54.00,UW_HPRC_HiFi_Y3,20109.00,35.48,52.06,20998715.00,60.55,21.99,0.00,21.99,R941,73203.44,54.00
NA21093,GIH,HPRC,62.50,0.00,62.50,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19647.71,47.90,46.45,13420815.00,96.55,33.96,33.96,0.00,R1041,76350.98,62.50
NA21102,GIH,HPRC,62.30,0.00,62.30,WUSTL_HPRC_HiFi_Year4,18520.38,65.18,44.04,16952868.00,59.78,28.47,28.47,0.00,R1041,96689.55,62.30
NA21106,GIH,HPRC,63.00,0.00,63.00,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,20171.54,58.52,57.83,24998408.00,77.66,20.86,20.86,0.00,R1041,61076.96,63.00
NA21110,GIH,HPRC,61.90,0.00,61.90,RU_Y4,23492.30,20.48,51.87,23334740.00,80.92,36.01,36.01,0.00,R1041,89199.76,61.90
NA21144,GIH,HPRC,77.40,0.00,77.40,WUSTL_HPRC_HiFi_Year4,18612.29,177.44,32.26,18755620.00,79.03,35.31,35.31,0.00,R1041,95599.30,77.40
NA21309,MKK,HPRC_PLUS,45.34,45.34,0.00,HPRC_DEEPCONSENSUS_v1pt2_2023_12_q20,17073.71,,44.96,,73.06,30.79,30.79,0.00,R1041,84229.87,41.00
