sample_id,haplotype,assembly_name,location
HG00280,2,HG00280_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00280/local_ancestry/bed/HG00280_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00290,1,HG00290_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00290/local_ancestry/bed/HG00290_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00290,2,HG00290_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00290/local_ancestry/bed/HG00290_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00320,1,HG00320_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00320/local_ancestry/bed/HG00320_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00320,2,HG00320_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00320/local_ancestry/bed/HG00320_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00321,1,HG00321_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00321/local_ancestry/bed/HG00321_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00321,2,HG00321_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00321/local_ancestry/bed/HG00321_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00323,1,HG00323_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00323/local_ancestry/bed/HG00323_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00323,2,HG00323_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00323/local_ancestry/bed/HG00323_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00329,1,HG00329_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00329/local_ancestry/bed/HG00329_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00329,2,HG00329_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00329/local_ancestry/bed/HG00329_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00344,1,HG00344_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00344/local_ancestry/bed/HG00344_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00344,2,HG00344_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00344/local_ancestry/bed/HG00344_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00350,1,HG00350_hap1_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00350/local_ancestry/bed/HG00350_hap1_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00350,2,HG00350_hap2_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00350/local_ancestry/bed/HG00350_hap2_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00408,1,HG00408_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00408/local_ancestry/bed/HG00408_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00408,2,HG00408_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00408/local_ancestry/bed/HG00408_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00423,1,HG00423_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00423/local_ancestry/bed/HG00423_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00423,2,HG00423_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00423/local_ancestry/bed/HG00423_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00438,1,HG00438_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00438/local_ancestry/bed/HG00438_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00438,2,HG00438_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00438/local_ancestry/bed/HG00438_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG005,1,HG005_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG005/local_ancestry/bed/HG005_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG005,2,HG005_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG005/local_ancestry/bed/HG005_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00544,1,HG00544_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00544/local_ancestry/bed/HG00544_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00544,2,HG00544_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00544/local_ancestry/bed/HG00544_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00558,1,HG00558_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00558/local_ancestry/bed/HG00558_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00558,2,HG00558_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00558/local_ancestry/bed/HG00558_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00597,1,HG00597_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00597/local_ancestry/bed/HG00597_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00597,2,HG00597_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00597/local_ancestry/bed/HG00597_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00609,1,HG00609_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00609/local_ancestry/bed/HG00609_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00609,2,HG00609_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00609/local_ancestry/bed/HG00609_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00621,1,HG00621_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00621/local_ancestry/bed/HG00621_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00621,2,HG00621_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00621/local_ancestry/bed/HG00621_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00639,1,HG00639_pat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00639/local_ancestry/bed/HG00639_pat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
HG00639,2,HG00639_mat_hprc_r2_v1.0.1,s3://human-pangenomics/submissions/07F483C1-0454-48C0-9330-6E3814757C52--release2_pclai_beds/HG00639/local_ancestry/bed/HG00639_mat_hprc_r2_v1.0.1.pclai.grch38_coord.bed
