sample_id,haplotype,assembly_name,browser
HG02559,1,HG02559_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018466855.2
HG02572,1,HG02572_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018470435.2
HG02622,1,HG02622_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018469925.2
HG02886,1,HG02886_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018470465.2
HG03453,1,HG03453_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018473305.2
HG03540,1,HG03540_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018473315.2
HG00099,1,HG00099_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042032525.1
HG00140,1,HG00140_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042031265.1
HG00280,1,HG00280_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042031275.1
HG00323,1,HG00323_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042032465.1
HG02040,1,HG02040_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042032555.1
HG02165,1,HG02165_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042032565.1
HG02273,1,HG02273_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042031155.1
HG02922,1,HG02922_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042031165.1
HG02965,1,HG02965_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042032535.1
HG02976,1,HG02976_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042031255.1
HG03130,1,HG03130_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042032345.1
HG03195,1,HG03195_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042031175.1
HG03209,1,HG03209_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042032445.1
NA18522,1,NA18522_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042031325.1
NA18747,1,NA18747_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042031315.1
NA18971,1,NA18971_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042032395.1
NA18983,1,NA18983_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042032545.1
NA19043,1,NA19043_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042031205.1
NA20905,1,NA20905_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042032625.1
HG01530,1,HG01530_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042034285.1
HG01784,1,HG01784_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042034305.1
HG02391,1,HG02391_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042034315.1
HG03471,1,HG03471_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042034215.1
HG03742,1,HG03742_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042034325.1
NA18570,1,NA18570_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042034345.1
NA19087,1,NA19087_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042034335.1
NA19185,1,NA19185_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042035275.1
NA19338,1,NA19338_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042035195.1
NA19391,1,NA19391_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042035185.1
NA19468,1,NA19468_hap1_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042035225.1
HG00438,1,HG00438_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018472595.2
HG00558,1,HG00558_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042037725.1
HG00639,1,HG00639_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042037765.1
HG00658,1,HG00658_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042037975.1
HG00673,1,HG00673_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018472585.2
HG01071,1,HG01071_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018472725.2
HG01074,1,HG01074_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042037995.1
HG01081,1,HG01081_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042037825.1
HG01123,1,HG01123_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018469695.2
HG01150,1,HG01150_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042037855.1
HG01252,1,HG01252_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042038865.1
HG01358,1,HG01358_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018469965.2
HG01361,1,HG01361_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018469705.2
HG01928,1,HG01928_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018472705.2
HG01934,1,HG01934_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042038875.1
HG01940,1,HG01940_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042037875.1
HG01960,1,HG01960_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042037895.1
HG01969,1,HG01969_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042037885.1
HG01978,1,HG01978_pat_hprc_r2_v1.1.0,https://genome.ucsc.edu/h/GCA_018472845.2
HG02071,1,HG02071_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042036435.1
HG02074,1,HG02074_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042036445.1
HG02135,1,HG02135_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042036495.1
HG02257,1,HG02257_pat_hprc_r2_v1.1.0,https://genome.ucsc.edu/h/GCA_018466835.2
HG02668,1,HG02668_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042038895.1
HG02717,1,HG02717_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_018470425.2
HG02809,1,HG02809_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042036525.1
HG03017,1,HG03017_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042038885.1
HG03041,1,HG03041_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042037905.1
HG03239,1,HG03239_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042037925.1
HG03516,1,HG03516_pat_hprc_r2_v1.1.0,https://genome.ucsc.edu/h/GCA_018469415.2
HG03804,1,HG03804_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042036515.1
HG03942,1,HG03942_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042036505.1
HG04157,1,HG04157_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042036535.1
HG04160,1,HG04160_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042036805.1
HG04204,1,HG04204_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042036795.1
HG04228,1,HG04228_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_042036925.1
HG00706,1,HG00706_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_046116065.1
HG03816,1,HG03816_pat_hprc_r2_v1.0.1,https://genome.ucsc.edu/h/GCA_046116025.1
